x_norm,x_mm,c_final,phi_total_final,alpha_x,eps_growth_x
0.000000000000000000e+00,0.000000000000000000e+00,5.160987930114473432e-01,9.413609887362758277e-01,1.146134860006906443e-03,3.820449533356354808e-04
3.448275862068965469e-02,6.896551724137930939e-03,5.161135026500394130e-01,9.406353319269418201e-01,1.145040711171658619e-03,3.816802370572195215e-04
6.896551724137930939e-02,1.379310344827586188e-02,5.161275598690256983e-01,9.404177271421924056e-01,1.144562480481251367e-03,3.815208268270837890e-04
1.034482758620689641e-01,2.068965517241379282e-02,5.161354437808471918e-01,9.404551724595119344e-01,1.144458691272963891e-03,3.814862304243212790e-04
1.379310344827586188e-01,2.758620689655172376e-02,5.161366198011012596e-01,9.406295866845233444e-01,1.144529529723169658e-03,3.815098432410565527e-04
1.724137931034482873e-01,3.448275862068966163e-02,5.161334872511924576e-01,9.408658037977656319e-01,1.144665699561655788e-03,3.815552331872186140e-04
2.068965517241379282e-01,4.137931034482758563e-02,5.161303767069949089e-01,9.410971863981362207e-01,1.144806332310045749e-03,3.816021107700152677e-04
2.413793103448275690e-01,4.827586206896551657e-02,5.161329679271531301e-01,9.412829646241256398e-01,1.144922158770124258e-03,3.816407195900414014e-04
2.758620689655172376e-01,5.517241379310344751e-02,5.161485519230161190e-01,9.414143856752632544e-01,1.145006016694034455e-03,3.816686722313448001e-04
3.103448275862069061e-01,6.206896551724138539e-02,5.161874248987936564e-01,9.415007505727888137e-01,1.145061953788689257e-03,3.816873179295630675e-04
3.448275862068965747e-01,6.896551724137932327e-02,5.162654087520022195e-01,9.415550117700800525e-01,1.145097617670348114e-03,3.816992058901160379e-04
3.793103448275861878e-01,7.586206896551724033e-02,5.164075866813532256e-01,9.415882300670567195e-01,1.145119741032755555e-03,3.817065803442518698e-04
4.137931034482758563e-01,8.275862068965517127e-02,5.166536183052953257e-01,9.416083621751083488e-01,1.145133253926670707e-03,3.817110846422235872e-04
4.482758620689655249e-01,8.965517241379311608e-02,5.170651820949117017e-01,9.416204287426007680e-01,1.145141540483632153e-03,3.817138468278774024e-04
4.827586206896551380e-01,9.655172413793103314e-02,5.177362033443823064e-01,9.416277192084990810e-01,1.145146594918722239e-03,3.817155316395740797e-04
5.172413793103448620e-01,1.034482758620689780e-01,5.188065955903187199e-01,9.416320975120452408e-01,1.145149730824742340e-03,3.817165769415807619e-04
5.517241379310344751e-01,1.103448275862068950e-01,5.204802162268815646e-01,9.416348124609080772e-01,1.145151775439038786e-03,3.817172584796796136e-04
5.862068965517240882e-01,1.172413793103448260e-01,5.230476537560110328e-01,9.416364532097247775e-01,1.145153049263498979e-03,3.817176830878329929e-04
6.206896551724138122e-01,1.241379310344827708e-01,5.269142476191034374e-01,9.416375485606218732e-01,1.145154024619349535e-03,3.817180082064498630e-04
6.551724137931034253e-01,1.310344827586207017e-01,5.326334345831013062e-01,9.416382716910842721e-01,1.145154704454702261e-03,3.817182348182341050e-04
6.896551724137931494e-01,1.379310344827586465e-01,5.409450518614644654e-01,9.416387338818434927e-01,1.145155112659796120e-03,3.817183708865986885e-04
7.241379310344827624e-01,1.448275862068965636e-01,5.528176701110042446e-01,9.416390186307956878e-01,1.145155270869551529e-03,3.817184236231838611e-04
7.586206896551723755e-01,1.517241379310344807e-01,5.694933363156444717e-01,9.416392544985261459e-01,1.145155384279618023e-03,3.817184614265393592e-04
7.931034482758620996e-01,1.586206896551724255e-01,5.925323020030235366e-01,9.416394970983107404e-01,1.145155485518386694e-03,3.817184951727955826e-04
8.275862068965517127e-01,1.655172413793103425e-01,6.238543871561480492e-01,9.416397884753515690e-01,1.145155597775946712e-03,3.817185325919822555e-04
8.620689655172413257e-01,1.724137931034482873e-01,6.657726249580040445e-01,9.416401696755002382e-01,1.145155743473226257e-03,3.817185811577420676e-04
8.965517241379310498e-01,1.793103448275862322e-01,7.210138419345640814e-01,9.416406854588117437e-01,1.145155948103340543e-03,3.817186493677801628e-04
9.310344827586206629e-01,1.862068965517241492e-01,7.927201128880696501e-01,9.416413880414807869e-01,1.145156244203052133e-03,3.817187480676840442e-04
9.655172413793102759e-01,1.931034482758620663e-01,8.844250271482930748e-01,9.416423420067377981e-01,1.145156678013374866e-03,3.817188926711249735e-04
1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,9.416436274666748485e-01,1.145157321410879845e-03,3.817191071369599301e-04
