x_norm,x_mm,c_final,phi_total_final,alpha_x_monod,eps_growth_x_monod
0.000000000000000000e+00,0.000000000000000000e+00,2.993311992674573419e-03,8.964863766147087576e-01,1.020588858700844379e-03,3.401962862336147930e-04
3.448275862068965469e-02,6.896551724137930939e-03,3.152266732232273435e-03,8.942346881827902827e-01,1.020814921237805538e-03,3.402716404126018639e-04
6.896551724137930939e-02,1.379310344827586188e-02,3.478225766266820982e-03,8.939410799274860597e-01,1.022994481892462943e-03,3.409981606308209990e-04
1.034482758620689641e-01,2.068965517241379282e-02,3.988443598604307118e-03,8.949862291282003612e-01,1.026979481111414726e-03,3.423264937038048906e-04
1.379310344827586188e-01,2.758620689655172376e-02,4.710234759286837172e-03,8.965085704539025313e-01,1.032831090636211540e-03,3.442770302120705134e-04
1.724137931034482873e-01,3.448275862068966163e-02,5.682307965843493014e-03,8.977146867025525001e-01,1.040728590842627524e-03,3.469095302808758593e-04
2.068965517241379282e-01,4.137931034482758563e-02,6.956620577714804979e-03,8.984547551355477335e-01,1.051009414470945513e-03,3.503364714903151891e-04
2.413793103448275690e-01,4.827586206896551657e-02,8.600984891804788757e-03,8.988707520666044948e-01,1.064197273644450215e-03,3.547324245481500715e-04
2.758620689655172376e-01,5.517241379310344751e-02,1.070252527391880003e-02,8.991017089192682166e-01,1.081011702746982779e-03,3.603372342489942416e-04
3.103448275862069061e-01,6.206896551724138539e-02,1.337207894090447317e-02,8.992317287126575520e-01,1.102372834555750579e-03,3.674576115185835081e-04
3.448275862068965747e-01,6.896551724137932327e-02,1.674969799563628611e-02,8.993060214056552981e-01,1.129421017734180254e-03,3.764736725780600847e-04
3.793103448275861878e-01,7.586206896551724033e-02,2.101145345807559767e-02,8.993492723775992070e-01,1.163559201769285298e-03,3.878530672564284147e-04
4.137931034482758563e-01,8.275862068965517127e-02,2.637776656042687545e-02,8.993748004736185075e-01,1.206495335105047147e-03,4.021651117016823642e-04
4.482758620689655249e-01,8.965517241379311608e-02,3.312349845559588168e-02,8.993901242509265703e-01,1.260284826099185990e-03,4.200949420330619966e-04
4.827586206896551380e-01,9.655172413793103314e-02,4.159001444649144258e-02,8.993998655983372892e-01,1.327385910793623834e-03,4.424619702645412960e-04
5.172413793103448620e-01,1.034482758620689780e-01,5.219938590667255046e-02,8.994063397019280703e-01,1.410661209448287393e-03,4.702204031494291309e-04
5.517241379310344751e-01,1.103448275862068950e-01,6.547078103879884481e-02,8.994112825283047119e-01,1.513403145450689657e-03,5.044677151502299220e-04
5.862068965517240882e-01,1.172413793103448260e-01,8.203891019044511068e-02,8.994156448956409644e-01,1.639275217323096952e-03,5.464250724410323534e-04
6.206896551724138122e-01,1.241379310344827708e-01,1.026740978022106648e-01,8.994198265961191874e-01,1.792196547603668814e-03,5.973988492012229741e-04
6.551724137931034253e-01,1.310344827586207017e-01,1.283031482207032947e-01,8.994244279199233860e-01,1.976174391233697161e-03,6.587247970778990899e-04
6.896551724137931494e-01,1.379310344827586465e-01,1.600296642651369838e-01,8.994289820063613439e-01,2.194978125482404188e-03,7.316593751608013599e-04
7.241379310344827624e-01,1.448275862068965636e-01,1.991518961417297062e-01,8.994339861031401817e-01,2.451786544729234879e-03,8.172621815764115902e-04
7.586206896551723755e-01,1.517241379310344807e-01,2.471756972599581659e-01,8.994399476971099983e-01,2.748693676444658937e-03,9.162312254815530152e-04
7.931034482758620996e-01,1.586206896551724255e-01,3.058198427120237262e-01,8.994471589595857131e-01,3.086225967464636347e-03,1.028741989154878782e-03
8.275862068965517127e-01,1.655172413793103425e-01,3.770110827234925965e-01,8.994558881862467770e-01,3.462934265822676782e-03,1.154311421940892261e-03
8.620689655172413257e-01,1.724137931034482873e-01,4.628670160460156002e-01,8.994664179902555068e-01,3.875165911606903105e-03,1.291721970535634296e-03
8.965517241379310498e-01,1.793103448275862322e-01,5.656662128830065583e-01,8.994790482929750919e-01,4.317112288462684848e-03,1.439037429487561616e-03
9.310344827586206629e-01,1.862068965517241492e-01,6.878068215529333784e-01,8.994940946114773350e-01,4.781170534262231195e-03,1.593723511420743659e-03
9.655172413793102759e-01,1.931034482758620663e-01,8.317567549981245145e-01,8.995118755975228808e-01,5.258577450466914160e-03,1.752859150155637981e-03
1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,8.995324646892792764e-01,5.740190975715476346e-03,1.913396991905158854e-03
