name,index,MAP,mean,median,hdi_lower,hdi_upper,et_lower,et_upper,rhat,ess
a11,0,2.9278640191053853,2.666817371925029,2.6651814978051336,0.4225400913902888,4.894106348151377,0.30936055162146414,4.822704611414027,0.990103009396974,100.0
a12,1,2.6566178857028895,1.159313316123698,1.1920452747017611,-0.3880044705307437,2.8490860259708835,-0.38090863962179067,2.845639879933305,1.012432474956073,100.0
a22,2,0.6304604751119112,1.6598545568515073,1.3788808121093572,0.010536013097070196,3.8683748296513096,0.06088492035038866,4.283866759897966,1.021307671519768,88.80650430691361
b1,3,0.4501876770592519,1.5451667739360873,1.5029561333818013,0.06363578324897345,2.763746947188332,0.126545412964662,2.868918475100192,1.010814053181864,100.0
b2,4,1.9225532501949791,1.5736546070878674,1.6566963161565342,0.16272436544496524,2.991306003951137,0.13593666353945494,2.950897359681869,1.006999042848612,100.0
a33,5,0.5673693120969074,2.9286563343844954,3.1926862746460265,0.6212741036292226,4.896704242472545,0.5929740880747573,4.867071437536296,0.9937872341651305,100.0
a34,6,2.4160603661932045,1.4702995620350898,1.526161739832406,-0.2595313694323551,2.9013688279455385,-0.37759099324081713,2.832334864738797,0.9935889727467639,100.0
a44,7,4.025852322303088,2.268365357323142,2.1354740247850605,0.1354887699828719,4.5829535400288215,0.2830984040505021,4.724081847227422,1.0428340699853116,83.11406004304182
b3,8,1.7177209936119027,2.5090937650991196,2.343928088788982,0.42006167332540656,4.930159068789331,0.34621782315522964,4.824462027787666,0.9932704920668202,100.0
b4,9,1.8040517423397961,1.6355033305117588,1.8115434785876343,0.2047670758981257,2.968013520918169,0.05998642348326877,2.9167347667874854,0.9976240064906562,100.0
a13,10,-1.4326275975620688,0.34315485566597864,0.6221146915183313,-2.587743347026222,2.983335855564518,-2.759113631968203,2.8126910395429316,1.0259452440900718,100.0
a14,11,2.5021845741100956,1.4050762266203523,1.4794593310192443,-0.25987078372629746,2.850249300418059,-0.30733120920044177,2.7651080789015596,1.0434272045038793,39.88774190347725
a23,12,3.6703232938043833,14.721116226940142,13.757727562255743,3.5782137281354505,28.307819923041023,3.7970385778821125,28.46071036113257,1.0589029501516682,59.3966127416164
a24,13,-0.4538034343165638,1.2493091981405353,1.0970180776620198,-0.4538034343165638,2.720011182480013,-0.35667530334543474,2.813786122651027,1.0548086069717137,59.307658129838984
a55,14,3.4717062869286743,2.23043915919788,2.0610587557041455,0.2596297488792364,4.714091282597185,0.28854915404321296,4.757102801350928,0.9990539685067114,100.0
b5,15,0.17252355898702398,0.22171201478902133,0.19843949723285886,0.015177365622332184,0.4623121230461785,0.01707360128640101,0.4738849658706504,1.0034907207344599,100.0
a15,16,0.1754514953590387,1.0795950415166726,1.0124926880226903,-0.3861099164670164,2.7784557598670876,-0.38427819347192,2.7758308644495844,0.9915680375118989,99.32001996261526
a25,17,2.9353409272666195,1.3624622433722124,1.3389800974583768,-0.16660682943971938,2.9881483795533885,-0.3083681061123616,2.925245719783231,1.0088829090220979,63.64044291973306
a35,18,23.84951199635512,15.332529144655421,17.158430276238384,1.7935254941534715,29.319251030773568,1.8305863627282657,28.831562693323292,1.1248396564465541,48.97652685959017
a45,19,1.9229197803502203,9.9844908550582,9.574186610015268,0.16648318695706354,19.20055604460776,0.5258494489334025,19.458474215763953,0.9972914180224456,100.0
