condition,cultivation,day,median,q1,q3,whisker_low,whisker_high,fliers
Commensal,Static,1,0.42,0.32,0.48,0.18,0.58,0.9
Commensal,Static,3,0.3,0.25,0.36,0.18,0.5,0.57
Commensal,Static,6,0.34,0.28,0.4,0.2,0.57,0.64
Commensal,Static,10,0.3,0.2,0.41,0.15,0.58,
Commensal,Static,15,0.29,0.22,0.36,0.1,0.56,
Commensal,Static,21,0.28,0.2,0.36,0.12,0.52,
Commensal,HOBIC,1,0.5,0.4,0.6,0.2,0.8,0.92
Commensal,HOBIC,3,0.15,0.1,0.3,0.05,0.65,
Commensal,HOBIC,6,0.2,0.15,0.3,0.05,0.45,
Commensal,HOBIC,10,0.35,0.25,0.48,0.15,0.55,
Commensal,HOBIC,15,0.38,0.25,0.52,0.2,0.7,
Commensal,HOBIC,21,0.36,0.28,0.5,0.18,0.6,
Dysbiotic,Static,1,0.4,0.35,0.45,0.2,0.55,
Dysbiotic,Static,3,0.35,0.3,0.4,0.25,0.5,0.75
Dysbiotic,Static,6,0.38,0.3,0.55,0.2,0.78,
Dysbiotic,Static,10,0.3,0.1,0.55,0.05,0.6,
Dysbiotic,Static,15,0.6,0.3,0.8,0.1,0.98,
Dysbiotic,Static,21,0.55,0.1,0.7,0.05,0.9,
Dysbiotic,HOBIC,1,0.45,0.4,0.55,0.25,0.6,
Dysbiotic,HOBIC,3,0.4,0.3,0.55,0.2,0.8,
Dysbiotic,HOBIC,6,0.75,0.5,1.0,0.2,1.3,
Dysbiotic,HOBIC,10,0.62,0.52,0.7,0.4,1.15,1.16
Dysbiotic,HOBIC,15,0.6,0.45,0.75,0.2,0.85,
Dysbiotic,HOBIC,21,0.6,0.4,0.9,0.05,1.25,
