condition,cultivation,day,volume_median,volume_mean,volume_std,volume_min,volume_max,intact_membrane_pct,damaged_membrane_pct,error_pct
Commensal,HOBIC,1,0.5059,0.5469444444444445,0.222930466239538,0.2021,0.92,92,8,5
Commensal,HOBIC,3,0.1515,0.2229,0.19736809700224028,0.045,0.6428,56,44,10
Commensal,HOBIC,6,0.20305,0.22765,0.12713614749550972,0.0537,0.4569,60,40,12
Commensal,HOBIC,10,0.35314999999999996,0.35545,0.14520718203410504,0.1498,0.5363,37,63,12
Commensal,HOBIC,15,0.37465000000000004,0.40105,0.18118379776190965,0.1982,0.7027,33,67,15
Commensal,HOBIC,21,0.3609,0.380975,0.14618695222214603,0.1765,0.5903,35,65,15
Commensal,Static,1,0.4269,0.4579111111111111,0.20541535631765978,0.1824,0.9,66,34,8
Commensal,Static,3,0.3063,0.3393555555555555,0.126387045529903,0.1785,0.57,77,23,6
Commensal,Static,6,0.3513,0.38207777777777774,0.14363904220108276,0.1964,0.64,65,35,7
Commensal,Static,10,0.2993,0.31808749999999997,0.1537178067341024,0.1466,0.5917,65,35,18
Commensal,Static,15,0.2879,0.297725,0.13827399042687466,0.0999,0.5608,69,31,19
Commensal,Static,21,0.27575,0.289325,0.1294614531709839,0.1235,0.5251,66,34,15
Dysbiotic,HOBIC,1,0.4482,0.45618749999999997,0.11702522850711662,0.2512,0.6016,81,19,10
Dysbiotic,HOBIC,3,0.4043,0.43837499999999996,0.19955269801662487,0.1949,0.8049,72,28,12
Dysbiotic,HOBIC,6,0.7511,0.757975,0.3755918900311118,0.1854,1.3285,39,61,15
Dysbiotic,HOBIC,10,0.6286,0.7092,0.2742128370445118,0.3987,1.16,44,56,12
Dysbiotic,HOBIC,15,0.6150500000000001,0.5847375,0.21849334045098165,0.2001,0.8543,48,52,12
Dysbiotic,HOBIC,21,0.5931,0.6355,0.3883869535840329,0.0466,1.2628,47,53,12
Dysbiotic,Static,1,0.39754999999999996,0.3927625,0.10290771090781155,0.2009,0.5476,97,3,2
Dysbiotic,Static,3,0.3558,0.40017777777777774,0.15082335510273082,0.2495,0.75,85,15,10
Dysbiotic,Static,6,0.381,0.433125,0.19402428971651975,0.2005,0.7856,52,48,10
Dysbiotic,Static,10,0.2945,0.3206125,0.24603704388625244,0.0202,0.6041,57,43,8
Dysbiotic,Static,15,0.5925499999999999,0.5565249999999999,0.3292051455508295,0.1015,1.0032,51,49,10
Dysbiotic,Static,21,0.54095,0.4530625,0.3545557741234596,0.0042,0.9033,47,53,8
