condition,cultivation,day,intact_membrane_pct,damaged_membrane_pct,error_pct
Commensal,Static,1,66,34,8
Commensal,Static,3,77,23,6
Commensal,Static,6,65,35,7
Commensal,Static,10,65,35,18
Commensal,Static,15,69,31,19
Commensal,Static,21,66,34,15
Commensal,HOBIC,1,92,8,5
Commensal,HOBIC,3,56,44,10
Commensal,HOBIC,6,60,40,12
Commensal,HOBIC,10,37,63,12
Commensal,HOBIC,15,33,67,15
Commensal,HOBIC,21,35,65,15
Dysbiotic,Static,1,97,3,2
Dysbiotic,Static,3,85,15,10
Dysbiotic,Static,6,52,48,10
Dysbiotic,Static,10,57,43,8
Dysbiotic,Static,15,51,49,10
Dysbiotic,Static,21,47,53,8
Dysbiotic,HOBIC,1,81,19,10
Dysbiotic,HOBIC,3,72,28,12
Dysbiotic,HOBIC,6,39,61,15
Dysbiotic,HOBIC,10,44,56,12
Dysbiotic,HOBIC,15,48,52,12
Dysbiotic,HOBIC,21,47,53,12
