time_days,pH_commensal,pH_dysbiotic
0.0,7.5,7.574
0.25,6.503,6.507
0.5,6.221,6.227
0.75,6.194,6.253
1.0,6.265,6.281
1.25,6.343,6.458
1.5,6.257,6.403
1.75,6.293,6.363
2.0,6.301,6.357
2.25,6.333,6.371
2.5,6.348,6.422
2.75,6.334,6.392
3.0,6.327,6.488
3.5,6.372,6.415
4.0,6.357,6.516
4.5,6.288,6.519
5.0,6.329,6.535
5.5,6.327,6.43
6.0,6.294,6.536
6.5,6.371,6.503
7.0,6.388,6.479
7.5,6.361,6.515
8.0,6.339,6.592
8.5,6.332,6.585
9.0,6.408,6.589
9.5,6.403,6.576
10.0,6.392,6.718
10.5,6.274,6.62
11.0,6.397,6.664
11.5,6.39,6.658
12.0,6.38,6.694
12.5,6.425,6.729
13.0,6.394,6.709
13.5,6.362,6.722
14.0,6.399,6.737
14.5,6.396,6.876
15.0,6.421,6.77
15.5,6.436,6.78
16.0,6.307,6.764
16.5,6.316,6.81
17.0,6.393,6.926
17.5,6.407,6.845
18.0,6.428,6.759
18.5,6.406,6.923
19.0,6.339,6.955
19.5,6.413,6.891
20.0,6.426,7.04
20.5,6.41,6.952
21.0,6.386,6.912
